date,home_team,away_team,team,scorer,minute,own_goal,penalty,home_id,away_id,team_id,player_slug,match_id,player_id
2024-11-16,Germany,Bosnia and Herzegovina,Germany,Leroy Sané,66.0,false,false,germany,bosnia-and-herzegovina,germany,leroy-sane,20241116-germany-bosnia-and-herzegovina,germany/leroy-sane
2024-11-16,Germany,Bosnia and Herzegovina,Germany,Tim Kleindienst,79.0,false,false,germany,bosnia-and-herzegovina,germany,tim-kleindienst,20241116-germany-bosnia-and-herzegovina,germany/tim-kleindienst
2024-11-16,Netherlands,Hungary,Netherlands,Wout Weghorst,21.0,false,true,netherlands,hungary,netherlands,wout-weghorst,20241116-netherlands-hungary,netherlands/wout-weghorst
2024-11-16,Netherlands,Hungary,Netherlands,Cody Gakpo,45.0,false,true,netherlands,hungary,netherlands,cody-gakpo,20241116-netherlands-hungary,netherlands/cody-gakpo
2024-11-16,Netherlands,Hungary,Netherlands,Denzel Dumfries,64.0,false,false,netherlands,hungary,netherlands,denzel-dumfries,20241116-netherlands-hungary,netherlands/denzel-dumfries
2024-11-16,Netherlands,Hungary,Netherlands,Teun Koopmeiners,86.0,false,false,netherlands,hungary,netherlands,teun-koopmeiners,20241116-netherlands-hungary,netherlands/teun-koopmeiners
2024-11-17,England,Republic of Ireland,England,Harry Kane,53.0,false,true,england,republic-of-ireland,england,harry-kane,20241117-england-republic-of-ireland,england/harry-kane
2024-11-17,England,Republic of Ireland,England,Anthony Gordon,56.0,false,false,england,republic-of-ireland,england,anthony-gordon,20241117-england-republic-of-ireland,england/anthony-gordon
2024-11-17,England,Republic of Ireland,England,Conor Gallagher,58.0,false,false,england,republic-of-ireland,england,conor-gallagher,20241117-england-republic-of-ireland,england/conor-gallagher
2024-11-17,England,Republic of Ireland,England,Jarrod Bowen,76.0,false,false,england,republic-of-ireland,england,jarrod-bowen,20241117-england-republic-of-ireland,england/jarrod-bowen
2024-11-17,England,Republic of Ireland,England,Taylor Harwood-Bellis,79.0,false,false,england,republic-of-ireland,england,taylor-harwood-bellis,20241117-england-republic-of-ireland,england/taylor-harwood-bellis
2024-11-17,Italy,France,France,Adrien Rabiot,2.0,false,false,italy,france,france,adrien-rabiot,20241117-italy-france,france/adrien-rabiot
2024-11-17,Italy,France,France,Guglielmo Vicario,33.0,true,false,italy,france,france,guglielmo-vicario,20241117-italy-france,france/guglielmo-vicario
2024-11-17,Italy,France,Italy,Andrea Cambiaso,35.0,false,false,italy,france,italy,andrea-cambiaso,20241117-italy-france,italy/andrea-cambiaso
2024-11-17,Italy,France,France,Adrien Rabiot,65.0,false,false,italy,france,france,adrien-rabiot,20241117-italy-france,france/adrien-rabiot
2024-11-18,Spain,Switzerland,Spain,Yeremy Pino,32.0,false,false,spain,switzerland,spain,yeremy-pino,20241118-spain-switzerland,spain/yeremy-pino
2024-11-18,Spain,Switzerland,Spain,Bryan Gil,68.0,false,false,spain,switzerland,spain,bryan-gil,20241118-spain-switzerland,spain/bryan-gil
2024-11-18,Spain,Switzerland,Spain,Bryan Zaragoza,90.0,false,true,spain,switzerland,spain,bryan-zaragoza,20241118-spain-switzerland,spain/bryan-zaragoza
2024-11-19,Argentina,Peru,Argentina,Lautaro Martínez,55.0,false,false,argentina,peru,argentina,lautaro-martinez,20241119-argentina-peru,argentina/lautaro-martinez
2024-11-19,Bosnia and Herzegovina,Netherlands,Netherlands,Brian Brobbey,24.0,false,false,bosnia-and-herzegovina,netherlands,netherlands,brian-brobbey,20241119-bosnia-and-herzegovina-netherlands,netherlands/brian-brobbey
2024-11-19,Brazil,Uruguay,Brazil,Gerson,62.0,false,false,brazil,uruguay,brazil,gerson,20241119-brazil-uruguay,brazil/gerson
2024-11-19,Hungary,Germany,Germany,Felix Nmecha,76.0,false,false,hungary,germany,germany,felix-nmecha,20241119-hungary-germany,germany/felix-nmecha
2025-03-20,Brazil,Colombia,Brazil,Raphinha,6.0,false,true,brazil,colombia,brazil,raphinha,20250320-brazil-colombia,brazil/raphinha
2025-03-20,Brazil,Colombia,Brazil,Vinícius Júnior,90.0,false,false,brazil,colombia,brazil,vinicius-junior,20250320-brazil-colombia,brazil/vinicius-junior
2025-03-20,Italy,Germany,Italy,Sandro Tonali,9.0,false,false,italy,germany,italy,sandro-tonali,20250320-italy-germany,italy/sandro-tonali
2025-03-20,Italy,Germany,Germany,Tim Kleindienst,49.0,false,false,italy,germany,germany,tim-kleindienst,20250320-italy-germany,germany/tim-kleindienst
2025-03-20,Italy,Germany,Germany,Leon Goretzka,76.0,false,false,italy,germany,germany,leon-goretzka,20250320-italy-germany,germany/leon-goretzka
2025-03-20,Netherlands,Spain,Spain,Nico Williams,9.0,false,false,netherlands,spain,spain,nico-williams,20250320-netherlands-spain,spain/nico-williams
2025-03-20,Netherlands,Spain,Netherlands,Cody Gakpo,28.0,false,false,netherlands,spain,netherlands,cody-gakpo,20250320-netherlands-spain,netherlands/cody-gakpo
2025-03-20,Netherlands,Spain,Netherlands,Tijjani Reijnders,46.0,false,false,netherlands,spain,netherlands,tijjani-reijnders,20250320-netherlands-spain,netherlands/tijjani-reijnders
2025-03-20,Netherlands,Spain,Spain,Mikel Merino,90.0,false,false,netherlands,spain,spain,mikel-merino,20250320-netherlands-spain,spain/mikel-merino
2025-03-21,England,Albania,England,Myles Lewis-Skelly,20.0,false,false,england,albania,england,myles-lewis-skelly,20250321-england-albania,england/myles-lewis-skelly
2025-03-21,England,Albania,England,Harry Kane,77.0,false,false,england,albania,england,harry-kane,20250321-england-albania,england/harry-kane
2025-03-21,Uruguay,Argentina,Argentina,Thiago Almada,68.0,false,false,uruguay,argentina,argentina,thiago-almada,20250321-uruguay-argentina,argentina/thiago-almada
2025-03-23,France,Croatia,France,Michael Olise,52.0,false,false,france,croatia,france,michael-olise,20250323-france-croatia,france/michael-olise
2025-03-23,France,Croatia,France,Ousmane Dembélé,80.0,false,false,france,croatia,france,ousmane-dembele,20250323-france-croatia,france/ousmane-dembele
2025-03-23,Germany,Italy,Germany,Joshua Kimmich,30.0,false,true,germany,italy,germany,joshua-kimmich,20250323-germany-italy,germany/joshua-kimmich
2025-03-23,Germany,Italy,Germany,Jamal Musiala,36.0,false,false,germany,italy,germany,jamal-musiala,20250323-germany-italy,germany/jamal-musiala
2025-03-23,Germany,Italy,Germany,Tim Kleindienst,45.0,false,false,germany,italy,germany,tim-kleindienst,20250323-germany-italy,germany/tim-kleindienst
2025-03-23,Germany,Italy,Italy,Moise Kean,49.0,false,false,germany,italy,italy,moise-kean,20250323-germany-italy,italy/moise-kean
2025-03-23,Germany,Italy,Italy,Moise Kean,69.0,false,false,germany,italy,italy,moise-kean,20250323-germany-italy,italy/moise-kean
2025-03-23,Germany,Italy,Italy,Giacomo Raspadori,90.0,false,true,germany,italy,italy,giacomo-raspadori,20250323-germany-italy,italy/giacomo-raspadori
2025-03-23,Spain,Netherlands,Spain,Mikel Oyarzabal,8.0,false,true,spain,netherlands,spain,mikel-oyarzabal,20250323-spain-netherlands,spain/mikel-oyarzabal
