date,home_score,away_score,tournament,city,country,neutral,home_id,away_id,tier,match_id,home_team_name,away_team_name,shootout_winner_id
1993-06-10,3,3,USA Cup,"Washington, D.C.",United States,true,brazil,germany,other,19930610-brazil-germany,Brazil,Germany,
1993-06-13,1,1,USA Cup,"Washington, D.C.",United States,true,brazil,england,other,19930613-brazil-england,Brazil,England,
1993-06-19,1,2,USA Cup,Pontiac,United States,true,england,germany,other,19930619-england-germany,England,Germany,
1993-06-27,1,1,Copa América,Guayaquil,Ecuador,true,brazil,argentina,continental,19930627-brazil-argentina,Brazil,Argentina,argentina
1993-10-13,2,0,FIFA World Cup qualification,Rotterdam,Netherlands,false,netherlands,england,qualifier,19931013-netherlands-england,Netherlands,England,
1993-11-17,2,1,Friendly,Cologne,Germany,false,germany,brazil,friendly,19931117-germany-brazil,Germany,Brazil,
1993-12-15,2,1,Friendly,Miami,United States,true,argentina,germany,friendly,19931215-argentina-germany,Argentina,Germany,
1994-02-16,0,1,Friendly,Naples,Italy,false,italy,france,friendly,19940216-italy-france,Italy,France,
1994-03-23,2,0,Friendly,Recife,Brazil,false,brazil,argentina,friendly,19940323-brazil-argentina,Brazil,Argentina,
1994-03-23,2,1,Friendly,Stuttgart,Germany,false,germany,italy,friendly,19940323-germany-italy,Germany,Italy,
1994-06-21,1,1,FIFA World Cup,Chicago,United States,true,germany,spain,world_cup,19940621-germany-spain,Germany,Spain,
1994-07-09,2,1,FIFA World Cup,Foxborough,United States,true,italy,spain,world_cup,19940709-italy-spain,Italy,Spain,
1994-07-09,2,3,FIFA World Cup,Dallas,United States,true,netherlands,brazil,world_cup,19940709-netherlands-brazil,Netherlands,Brazil,
1994-07-17,0,0,FIFA World Cup,Pasadena,United States,true,brazil,italy,world_cup,19940717-brazil-italy,Brazil,Italy,brazil
1995-01-18,0,1,Friendly,Utrecht,Netherlands,false,netherlands,france,friendly,19950118-netherlands-france,Netherlands,France,
1995-02-22,0,0,Friendly,Jerez de la Frontera,Spain,false,spain,germany,friendly,19950222-spain-germany,Spain,Germany,
1995-06-11,1,3,Friendly,London,England,false,england,brazil,friendly,19950611-england-brazil,England,Brazil,
1995-06-21,2,0,Friendly,Zürich,Switzerland,true,germany,italy,friendly,19950621-germany-italy,Germany,Italy,
1995-07-17,2,2,Copa América,Rivera,Uruguay,true,brazil,argentina,continental,19950717-brazil-argentina,Brazil,Argentina,brazil
1995-09-20,2,1,Friendly,Madrid,Spain,false,spain,argentina,friendly,19950920-spain-argentina,Spain,Argentina,
1995-11-08,0,1,Friendly,Buenos Aires,Argentina,false,argentina,brazil,friendly,19951108-argentina-brazil,Argentina,Brazil,
1996-04-24,0,1,Friendly,Rotterdam,Netherlands,false,netherlands,germany,friendly,19960424-netherlands-germany,Netherlands,Germany,
1996-06-01,0,1,Friendly,Stuttgart,Germany,false,germany,france,friendly,19960601-germany-france,Germany,France,
1996-06-15,1,1,UEFA Euro,Leeds,England,true,france,spain,continental,19960615-france-spain,France,Spain,
1996-06-18,4,1,UEFA Euro,London,England,false,england,netherlands,continental,19960618-england-netherlands,England,Netherlands,
1996-06-19,0,0,UEFA Euro,Manchester,England,true,italy,germany,continental,19960619-italy-germany,Italy,Germany,
1996-06-22,0,0,UEFA Euro,London,England,false,england,spain,continental,19960622-england-spain,England,Spain,england
1996-06-22,0,0,UEFA Euro,Liverpool,England,true,france,netherlands,continental,19960622-france-netherlands,France,Netherlands,france
1996-06-26,1,1,UEFA Euro,London,England,false,england,germany,continental,19960626-england-germany,England,Germany,germany
1996-08-31,2,2,Friendly,Amsterdam,Netherlands,false,netherlands,brazil,friendly,19960831-netherlands-brazil,Netherlands,Brazil,
1997-02-12,0,1,FIFA World Cup qualification,London,England,false,england,italy,qualifier,19970212-england-italy,England,Italy,
1997-02-26,2,1,Friendly,Paris,France,false,france,netherlands,friendly,19970226-france-netherlands,France,Netherlands,
